qid,docno,score,rank,orig_score,kg_score
0,3848,0.6655095785856247,1,0.3899820148944855,0.7835928201675415
0,2922,0.6440388262271881,2,0.4748650193214416,0.7165418863296509
0,5070,0.638342148065567,3,0.5181878209114075,0.689836859703064
0,3851,0.6344876110553741,4,0.3944036364555359,0.7373807430267334
0,4753,0.618748265504837,5,0.447880744934082,0.6919772028923035
0,5073,0.6175206363201141,6,0.4382820129394531,0.6943371891975403
0,5079,0.6113231480121611,7,0.3978717923164367,0.702802300453186
0,2858,0.6061872601509094,8,0.3662953376770019,0.7089980840682983
0,2919,0.5972286373376846,9,0.3048566877841949,0.7225309014320374
0,2835,0.595814350247383,10,0.4134905636310577,0.673953115940094
0,4409,0.5854212522506714,11,0.4513901472091675,0.6428631544113159
0,4408,0.5848169207572936,12,0.4218657612800598,0.6546531319618225
0,3153,0.5796970695257186,13,0.4172403514385223,0.6493213772773743
0,5043,0.5368687510490417,14,0.3676354885101318,0.609397292137146
0,4410,0.5265395432710647,15,0.3424400985240936,0.605439305305481
0,3162,0.5140035390853882,16,0.3587566614151001,0.5805379152297974
0,3850,0.5137051790952682,17,0.4090679585933685,0.558549702167511
0,2921,0.4603911250829696,18,0.3368062078952789,0.51335608959198
0,5002,0.4234130650758743,19,0.3469972014427185,0.4561627209186554
0,3157,0.3976172178983688,20,0.407658189535141,0.3933139443397522
0,5011,0.3886862754821777,21,0.4528212547302246,0.36119985580444336
0,3849,0.3768222570419312,22,0.413516104221344,0.3610963225364685
0,5035,0.3614769369363785,23,0.377863347530365,0.3544541895389557
0,3846,0.35965369343757625,24,0.3056925535202026,0.38277989625930786
0,5061,0.35681765675544735,25,0.3309677243232727,0.3678961992263794
0,2832,0.340086755156517,26,0.3046445846557617,0.3552762567996979
0,2875,0.28056127727031704,27,0.3387016057968139,0.2556439936161041
0,3091,0.2716785430908203,28,0.307898998260498,0.25615549087524414
0,5009,0.26887782514095304,29,0.3356014192104339,0.24028199911117554
0,2857,0.26710558533668516,30,0.3051612377166748,0.25079602003097534
0,2878,0.25679109394550326,31,0.4140043258666992,0.18941399455070496
0,5075,0.25583271235227584,32,0.3772408962249756,0.20380063354969025
0,5020,0.2523933082818985,33,0.3462918400764465,0.21215108036994934
0,4762,0.251396170258522,34,0.3091405034065246,0.22664859890937805
0,5076,0.2505303412675857,35,0.3650381565093994,0.20145556330680847
0,4756,0.23580054044723509,36,0.3393195569515228,0.19143524765968323
0,3847,0.2252210959792137,37,0.4414404034614563,0.13255567848682404
0,4819,0.20782927572727203,38,0.3083508312702179,0.16474860906600952
0,2855,0.19511297866702076,39,0.424351155757904,0.09686804562807083
0,4757,0.18975747525691983,40,0.3111498355865478,0.13773217797279358
0,4407,0.1760830372571945,41,0.4198989272117615,0.07159051299095154
0,5165,0.16848563700914382,42,0.3337102234363556,0.09767509996891022
0,5193,0.15619288384914398,43,0.299055278301239,0.09496614336967468
0,5072,0.15207861140370368,44,0.3467080295085907,0.0686660036444664
0,5099,0.14505025669932364,45,0.3403258323669433,0.06136072427034378
0,5015,0.1435848869383335,46,0.3159616887569427,0.06970911473035812
0,5018,0.13578675520839167,47,0.451132595539093,0.0006385379238054156
0,2861,0.12991523575037717,48,0.4034704566001892,0.012677283957600594
0,3766,0.1255826072767377,49,0.3468557596206665,0.03075125627219677
0,2856,0.12545389626175163,50,0.4570629298686981,-0.016664260998368263
0,2882,0.12271352550014851,51,0.4153920412063598,-0.002720124088227749
0,3089,0.12123386864550412,52,0.3905751705169678,0.00580188212916255
0,5005,0.11983210537582634,53,0.3668662309646606,0.01396033726632595
0,4434,0.11945411860942841,54,0.3965371251106262,0.0007042586803436279
0,5101,0.117997436132282,55,0.3681261837482452,0.010799401439726353
0,5064,0.11779305331874637,56,0.3890933692455292,0.0015214893501251936
